depth,gr_2,NPHI,Cali,rhob,shal_res,deep_res,PHIDE,PHINE,PHIEXND,PHIEXND_gas_cor,Swa,Vsh_GR,Reservoir_Flag
4016.9973,61.2316131,0.10204141,8.53517723,2.48447132,32.0164489,34.7480278,0.10679269677419355,0.10204141,0.05390655543709678,0.07551728719055104,1.0,0.3777554981826893,0
4017.0354,53.5983581,0.09620933,8.53525066,2.47209358,34.5676803,40.4744033,0.11477833548387084,0.09620933,0.05787021439193542,0.08116339051557023,0.9083661292344163,0.3222125295933845,0
4017.0735,45.9651031,0.09037725,8.53532409,2.45971584,38.00811,46.2007827,0.12276397419354843,0.09037725,0.06183387334677421,0.08680959095781404,0.7949118368256866,0.2666695610040797,0
4017.1116,38.3318481,0.08454517,8.53539657,2.4473381,41.4485397,51.9271583,0.13074961290322573,0.08454517,0.06579753230161287,0.09245587072468792,0.7040112012544085,0.2111265924147749,0
4017.1497,34.3410644,0.08352941,8.53532409,2.44094204,49.0921936,60.9784393,0.13487610322580645,0.08352941,0.06785569866290322,0.0953736361307775,0.6297886761421853,0.18208786991751658,1
4017.1878,30.3502788,0.08251366,8.53525066,2.43454599,56.7358512,70.0297164,0.13900258709677404,0.08251366,0.06991386184838702,0.09829140366788165,0.5702359840792186,0.15304913359501066,1
4017.2259,26.3594932,0.0814979,8.53517723,2.42814993,62.891014,79.0810012,0.1431290774193548,0.0814979,0.0719720282096774,0.10120918188011921,0.5211411255561207,0.12401039727250472,1
4017.264,22.3687095,0.08048214,8.53510475,2.42175388,69.0461807,88.1322784,0.14725556129032266,0.08048214,0.07403019134516133,0.10412696113018441,0.4798225423986845,0.09497167477524641,1
4017.3021,21.6652183,0.07908801,8.53517723,2.42518782,74.8650817,110.938278,0.14504011612903214,0.07908801,0.07291549811451607,0.102560374360802,0.4342012134058242,0.08985275897530885,1
4017.3402,20.9617252,0.07769389,8.53525066,2.42862176,80.6839904,133.744293,0.14282467096774193,0.07769389,0.07180080493387096,0.10099378760868927,0.4015864499609733,0.0847338293501237,1
4017.3783,20.2582321,0.07629977,8.53532409,2.43205595,82.3413162,156.550292,0.14060906451612895,0.07629977,0.07068603110806447,0.09942708682645568,0.3770332784602523,0.07961489972493856,1
4017.4164,19.5547409,0.07490564,8.53539657,2.43548989,83.9986419,179.356292,0.1383936193548387,0.07490564,0.06957133787741936,0.09786050011016285,0.3578867345970635,0.074495983925001,1
4017.4545,19.8929653,0.07370161,8.53532409,2.43771624,106.23072,204.800109,0.13695726451612908,0.07370161,0.06884714030806453,0.09684481270690912,0.33843080354314203,0.07695705554193721,1
4017.4926,20.2311897,0.07249758,8.53525066,2.43994235,128.462799,230.243942,0.13552106451612903,0.07249758,0.06812302015806451,0.09582923488553843,0.3225664641138811,0.07941812715887345,1
4017.5307,20.569416,0.07129355,8.53517723,2.44216871,129.217849,255.687774,0.13408470322580654,0.07129355,0.06739881936290328,0.09481354311536876,0.30937554627857133,0.08187921260105725,1
4017.5688,20.9076404,0.07008952,8.53510475,2.44439506,129.9729,281.131591,0.13264834838709663,0.07008952,0.06667462179354831,0.09379785600936182,0.2982384294420483,0.08434028421799344,1
4017.6069,20.214611,0.0694148,8.53581237,2.44287967,151.866653,318.841766,0.1336260193548387,0.0694148,0.06716008367741935,0.09448913929670867,0.27799811070580666,0.07929749314188443,1
4017.645,19.5215797,0.06874009,8.53652,2.44136404,173.760406,356.55194,0.13460384516129037,0.06874009,0.06764562303064518,0.09518053281055416,0.2609767430595066,0.07425468824052778,1
4017.6831,18.8285503,0.06806537,8.53722858,2.43984842,222.399551,394.262115,0.1355816645161289,0.06806537,0.06813115910806446,0.09587192248626146,0.24639244124069765,0.06921189716441874,1
4017.7212,18.1355209,0.06739065,8.53793621,2.43833303,271.038696,431.97229,0.136559335483871,0.06739065,0.0686166209919355,0.09656320794631662,0.23370699479763823,0.06416910608830968,1
